Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2019-09-07 13:45:09.829,0,0,0,104,True,8,car,0 days 01:00:08.736000,0 days 01:00:08.736000
2019-09-07 13:45:10.069,0,0,0,104,True,8,car,0 days 01:00:08.976000,0 days 01:00:08.976000
2019-09-07 13:45:10.309,0,0,0,104,True,8,car,0 days 01:00:09.216000,0 days 01:00:09.216000
2019-09-07 13:45:10.549,0,0,0,104,True,8,car,0 days 01:00:09.456000,0 days 01:00:09.456000
2019-09-07 13:45:10.788,0,0,0,104,True,8,car,0 days 01:00:09.695000,0 days 01:00:09.695000
2019-09-07 13:45:11.028,0,0,0,104,True,8,car,0 days 01:00:09.935000,0 days 01:00:09.935000
2019-09-07 13:45:11.268,0,0,0,104,True,8,car,0 days 01:00:10.175000,0 days 01:00:10.175000
2019-09-07 13:45:11.469,0,0,0,104,True,8,car,0 days 01:00:10.376000,0 days 01:00:10.376000
2019-09-07 13:45:11.709,0,0,0,104,True,8,car,0 days 01:00:10.616000,0 days 01:00:10.616000
2019-09-07 13:45:11.949,0,0,0,104,True,8,car,0 days 01:00:10.856000,0 days 01:00:10.856000
2019-09-07 13:45:12.189,0,0,0,104,True,8,car,0 days 01:00:11.096000,0 days 01:00:11.096000
2019-09-07 13:45:12.429,0,0,0,104,True,8,car,0 days 01:00:11.336000,0 days 01:00:11.336000
2019-09-07 13:45:12.669,0,0,0,104,True,8,car,0 days 01:00:11.576000,0 days 01:00:11.576000
2019-09-07 13:45:12.909,0,0,0,104,True,8,car,0 days 01:00:11.816000,0 days 01:00:11.816000
2019-09-07 13:45:13.149,0,0,0,104,True,8,car,0 days 01:00:12.056000,0 days 01:00:12.056000
2019-09-07 13:45:13.389,0,0,0,104,True,8,car,0 days 01:00:12.296000,0 days 01:00:12.296000
2019-09-07 13:45:13.629,0,0,0,104,True,8,car,0 days 01:00:12.536000,0 days 01:00:12.536000
2019-09-07 13:45:13.909,0,0,0,104,True,8,car,0 days 01:00:12.816000,0 days 01:00:12.816000
2019-09-07 13:45:14.149,0,0,0,104,True,8,car,0 days 01:00:13.056000,0 days 01:00:13.056000
2019-09-07 13:45:14.389,0,0,0,104,True,8,car,0 days 01:00:13.296000,0 days 01:00:13.296000
2019-09-07 13:45:14.629,0,0,0,104,True,8,car,0 days 01:00:13.536000,0 days 01:00:13.536000
2019-09-07 13:45:14.869,0,0,0,104,True,8,car,0 days 01:00:13.776000,0 days 01:00:13.776000
2019-09-07 13:45:15.149,0,0,0,104,True,8,car,0 days 01:00:14.056000,0 days 01:00:14.056000
2019-09-07 13:45:15.389,0,0,0,104,True,8,car,0 days 01:00:14.296000,0 days 01:00:14.296000
2019-09-07 13:45:15.629,0,0,0,104,True,8,car,0 days 01:00:14.536000,0 days 01:00:14.536000
2019-09-07 13:45:15.869,0,0,0,104,True,8,car,0 days 01:00:14.776000,0 days 01:00:14.776000
2019-09-07 13:45:16.109,0,0,0,104,True,8,car,0 days 01:00:15.016000,0 days 01:00:15.016000
2019-09-07 13:45:16.349,0,0,0,104,True,8,car,0 days 01:00:15.256000,0 days 01:00:15.256000
2019-09-07 13:45:16.589,0,0,0,104,True,8,car,0 days 01:00:15.496000,0 days 01:00:15.496000
2019-09-07 13:45:16.989,0,0,0,104,True,8,car,0 days 01:00:15.896000,0 days 01:00:15.896000
2019-09-07 13:45:17.229,0,0,0,104,True,8,car,0 days 01:00:16.136000,0 days 01:00:16.136000
2019-09-07 13:45:17.469,0,0,0,104,True,8,car,0 days 01:00:16.376000,0 days 01:00:16.376000
2019-09-07 13:45:17.708,0,0,0,104,True,8,car,0 days 01:00:16.615000,0 days 01:00:16.615000
2019-09-07 13:45:17.909,0,0,0,104,True,8,car,0 days 01:00:16.816000,0 days 01:00:16.816000
2019-09-07 13:45:18.149,0,0,0,104,True,8,car,0 days 01:00:17.056000,0 days 01:00:17.056000
2019-09-07 13:45:18.389,0,0,0,104,True,8,car,0 days 01:00:17.296000,0 days 01:00:17.296000
2019-09-07 13:45:18.629,0,0,0,104,True,8,car,0 days 01:00:17.536000,0 days 01:00:17.536000
2019-09-07 13:45:18.869,0,0,0,104,True,8,car,0 days 01:00:17.776000,0 days 01:00:17.776000
2019-09-07 13:45:19.109,0,0,0,104,True,8,car,0 days 01:00:18.016000,0 days 01:00:18.016000
2019-09-07 13:45:19.349,0,0,0,104,True,8,car,0 days 01:00:18.256000,0 days 01:00:18.256000
2019-09-07 13:45:19.589,0,0,0,104,True,8,car,0 days 01:00:18.496000,0 days 01:00:18.496000
2019-09-07 13:45:19.869,0,0,0,104,True,8,car,0 days 01:00:18.776000,0 days 01:00:18.776000
2019-09-07 13:45:20.109,0,0,0,104,True,8,car,0 days 01:00:19.016000,0 days 01:00:19.016000
2019-09-07 13:45:20.349,0,0,0,104,True,8,car,0 days 01:00:19.256000,0 days 01:00:19.256000
2019-09-07 13:45:20.589,0,0,0,104,True,8,car,0 days 01:00:19.496000,0 days 01:00:19.496000
2019-09-07 13:45:20.829,0,0,0,104,True,8,car,0 days 01:00:19.736000,0 days 01:00:19.736000
2019-09-07 13:45:21.069,0,0,0,104,True,8,car,0 days 01:00:19.976000,0 days 01:00:19.976000
2019-09-07 13:45:21.309,0,0,0,104,True,8,car,0 days 01:00:20.216000,0 days 01:00:20.216000
2019-09-07 13:45:21.549,0,0,0,104,True,8,car,0 days 01:00:20.456000,0 days 01:00:20.456000
2019-09-07 13:45:21.789,0,0,0,104,True,8,car,0 days 01:00:20.696000,0 days 01:00:20.696000
2019-09-07 13:45:22.029,0,0,0,104,True,8,car,0 days 01:00:20.936000,0 days 01:00:20.936000
2019-09-07 13:45:22.269,0,0,0,104,True,8,car,0 days 01:00:21.176000,0 days 01:00:21.176000
2019-09-07 13:45:22.509,0,0,0,104,True,8,car,0 days 01:00:21.416000,0 days 01:00:21.416000
2019-09-07 13:45:22.869,0,0,0,104,True,8,car,0 days 01:00:21.776000,0 days 01:00:21.776000
2019-09-07 13:45:23.109,0,0,0,104,True,8,car,0 days 01:00:22.016000,0 days 01:00:22.016000
